cr,size,ac,hp,legendary,str,dex,con,int,wis,cha,speed_fly_and_swim,speed_swim,speed_walk,type_beast,type_celestial,type_construct,type_dragon,type_elemental,type_fey,type_fiend,type_giant,type_humanoid,type_monstrosity,type_ooze,type_plant,type_swarm of Tiny beasts,type_undead,align_any chaotic alignment,align_any evil alignment,align_any non-good alignment,align_any non-lawful alignment,align_chaotic evil,align_chaotic good,align_chaotic good ,align_chaotic neutral,align_lawful evil,align_lawful good,align_lawful neutral,align_neutral,align_neutral evil,align_neutral good,align_neutral good ,align_unaligned
0.25,2,12,13,False,10,14,10,11,12,11,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
9.0,2,12,84,False,9,14,14,18,12,11,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10.0,3,17,135,True,21,9,15,18,15,18,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
9.0,4,15,137,False,24,10,22,9,13,9,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
23.0,2,21,285,False,13,16,20,27,21,20,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0.25,2,10,9,False,10,10,10,10,14,11,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14.0,4,19,195,True,23,14,21,14,13,17,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
17.0,4,19,225,True,25,10,23,16,15,19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
16.0,4,19,225,True,25,10,23,16,15,19,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
13.0,4,18,172,True,23,10,21,14,13,17,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
